# r(Angstrom)	g(r)	in_region	integrand
5.160000000000000142e+00 8.989515734501754007e-01 0.000000000000000000e+00 2.643835557806901093e+01
5.179998999999999576e+00 9.017495347240589432e-01 0.000000000000000000e+00 2.672661870318815858e+01
5.200000000000000178e+00 9.051315296170674429e-01 0.000000000000000000e+00 2.703442393813871192e+01
5.219998999999999612e+00 9.091108894042730926e-01 0.000000000000000000e+00 2.736254183115034522e+01
5.240000000000000213e+00 9.136656409980378202e-01 0.000000000000000000e+00 2.771077080693482131e+01
5.259998999999999647e+00 9.187344215399411151e-01 0.000000000000000000e+00 2.807760437404493814e+01
5.280000000000000249e+00 9.242185208924200701e-01 0.000000000000000000e+00 2.846041650445733140e+01
5.299998999999999683e+00 9.299855794988337587e-01 0.000000000000000000e+00 2.885536211528693684e+01
5.320000000000000284e+00 9.358781143005320269e-01 0.000000000000000000e+00 2.925777495070625633e+01
5.339998999999999718e+00 9.417234346057854477e-01 0.000000000000000000e+00 2.966227578139034193e+01
5.360000000000000320e+00 9.473471314664391185e-01 0.000000000000000000e+00 3.006335622568158428e+01
5.379999999999999893e+00 9.525852202834801385e-01 0.000000000000000000e+00 3.045559786394164448e+01
5.400000000000000355e+00 9.572969778159462484e-01 0.000000000000000000e+00 3.083421856938332084e+01
5.419999999999999929e+00 9.613761515456443751e-01 0.000000000000000000e+00 3.119540704200658610e+01
5.440000000000000391e+00 9.647583248387046062e-01 0.000000000000000000e+00 3.153661478181146549e+01
5.459999999999999964e+00 9.674262856609116001e-01 0.000000000000000000e+00 3.185678230879792494e+01
5.480000000000000426e+00 9.694109824245034090e-01 0.000000000000000000e+00 3.215642734296601191e+01
5.500000000000000000e+00 9.707886731039371275e-01 0.000000000000000000e+00 3.243760780431568236e+01
5.519999999999999574e+00 9.716733801266057569e-01 0.000000000000000000e+00 3.270372329284695212e+01
5.540000000000000036e+00 9.722085282064770739e-01 0.000000000000000000e+00 3.295927840855983959e+01
5.559999000000000358e+00 9.725540357362977284e-01 0.000000000000000000e+00 3.320946707704060685e+01
